T02,"Population, density and surface area",,,,,
13,Central America,2015,Population mid-year estimates for females (millions),86.17,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
13,Central America,2015,Sex ratio (males per 100 females),96.1,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
13,Central America,2015,Population aged 0 to 14 years old (percentage),28.8,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
13,Central America,2015,Population aged 60+ years old (percentage),9.5,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
13,Central America,2015,Population density,68.9,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
13,Central America,2015,Surface area (thousand km2),"2,480",,"United Nations Statistics Division, New York, ""Demographic Yearbook 2019"" and the demographic statistics database, last accessed June 2021."
13,Central America,2019,Population mid-year estimates (millions),177.59,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
13,Central America,2019,Population mid-year estimates for males (millions),87.02,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
13,Central America,2019,Population mid-year estimates for females (millions),90.56,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
13,Central America,2019,Sex ratio (males per 100 females),96.1,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
13,Central America,2019,Population aged 0 to 14 years old (percentage),27.3,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
13,Central America,2019,Population aged 60+ years old (percentage),10.4,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
13,Central America,2019,Population density,72.4,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
13,Central America,2019,Surface area (thousand km2),"2,452",,"United Nations Statistics Division, New York, ""Demographic Yearbook 2019"" and the demographic statistics database, last accessed June 2021."
13,Central America,2021,Population mid-year estimates (millions),181.72,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
13,Central America,2021,Population mid-year estimates for males (millions),89.06,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
13,Central America,2021,Population mid-year estimates for females (millions),92.66,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
13,Central America,2021,Sex ratio (males per 100 females),96.1,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
13,Central America,2021,Population aged 0 to 14 years old (percentage),26.5,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
13,Central America,2021,Population aged 60+ years old (percentage),11.0,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
13,Central America,2021,Population density,74.1,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
5,South America,2010,Population mid-year estimates (millions),392.54,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
5,South America,2010,Population mid-year estimates for males (millions),193.79,Including Falkland Islands (Malvinas).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
5,South America,2010,Population mid-year estimates for females (millions),198.76,Including Falkland Islands (Malvinas).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
5,South America,2010,Sex ratio (males per 100 females),97.5,Including Falkland Islands (Malvinas).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
5,South America,2010,Population aged 0 to 14 years old (percentage),26.5,Including Falkland Islands (Malvinas).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
5,South America,2010,Population aged 60+ years old (percentage),10.4,Including Falkland Islands (Malvinas).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
5,South America,2010,Population density,22.5,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
5,South America,2015,Population mid-year estimates (millions),412.36,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
5,South America,2015,Population mid-year estimates for males (millions),203.29,Including Falkland Islands (Malvinas).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
5,South America,2015,Population mid-year estimates for females (millions),209.07,Including Falkland Islands (Malvinas).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
5,South America,2015,Sex ratio (males per 100 females),97.2,Including Falkland Islands (Malvinas).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
5,South America,2015,Population aged 0 to 14 years old (percentage),24.4,Including Falkland Islands (Malvinas).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
5,South America,2015,Population aged 60+ years old (percentage),11.9,Including Falkland Islands (Malvinas).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
5,South America,2015,Population density,23.6,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
5,South America,2015,Surface area (thousand km2),"17,832",,"United Nations Statistics Division, New York, ""Demographic Yearbook 2019"" and the demographic statistics database, last accessed June 2021."
5,South America,2019,Population mid-year estimates (millions),427.20,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
5,South America,2019,Population mid-year estimates for males (millions),210.38,Including Falkland Islands (Malvinas).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
5,South America,2019,Population mid-year estimates for females (millions),216.82,Including Falkland Islands (Malvinas).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
5,South America,2019,Sex ratio (males per 100 females),97.0,Including Falkland Islands (Malvinas).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
5,South America,2019,Population aged 0 to 14 years old (percentage),22.9,Including Falkland Islands (Malvinas).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
5,South America,2019,Population aged 60+ years old (percentage),13.3,Including Falkland Islands (Malvinas).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
5,South America,2019,Population density,24.5,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
5,South America,2019,Surface area (thousand km2),"17,461",,"United Nations Statistics Division, New York, ""Demographic Yearbook 2019"" and the demographic statistics database, last accessed June 2021."
5,South America,2021,Population mid-year estimates (millions),434.26,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
5,South America,2021,Population mid-year estimates for males (millions),213.77,Projected estimate (medium fertility variant).;Including Falkland Islands (Malvinas).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
5,South America,2021,Population mid-year estimates for females (millions),220.49,Projected estimate (medium fertility variant).;Including Falkland Islands (Malvinas).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
5,South America,2021,Sex ratio (males per 100 females),96.9,Projected estimate (medium fertility variant).;Including Falkland Islands (Malvinas).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
5,South America,2021,Population aged 0 to 14 years old (percentage),22.4,Projected estimate (medium fertility variant).;Including Falkland Islands (Malvinas).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
5,South America,2021,Population aged 60+ years old (percentage),14.1,Projected estimate (medium fertility variant).;Including Falkland Islands (Malvinas).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
5,South America,2021,Population density,24.9,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
142,Asia,2010,Population mid-year estimates (millions),"4,209.59",,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
142,Asia,2010,Population mid-year estimates for males (millions),"2,155.31",,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
142,Asia,2010,Population mid-year estimates for females (millions),"2,054.28",,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
142,Asia,2010,Sex ratio (males per 100 females),104.9,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
142,Asia,2010,Population aged 0 to 14 years old (percentage),25.9,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
142,Asia,2010,Population aged 60+ years old (percentage),10.0,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
142,Asia,2010,Population density,135.6,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
142,Asia,2015,Population mid-year estimates (millions),"4,433.48",,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
142,Asia,2015,Population mid-year estimates for males (millions),"2,268.50",,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
142,Asia,2015,Population mid-year estimates for females (millions),"2,164.97",,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
142,Asia,2015,Sex ratio (males per 100 females),104.8,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
142,Asia,2015,Population aged 0 to 14 years old (percentage),24.6,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
142,Asia,2015,Population aged 60+ years old (percentage),11.5,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
142,Asia,2015,Population density,142.9,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
142,Asia,2015,Surface area (thousand km2),"31,915",,"United Nations Statistics Division, New York, ""Demographic Yearbook 2019"" and the demographic statistics database, last accessed June 2021."
142,Asia,2019,Population mid-year estimates (millions),"4,601.37",,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
142,Asia,2019,Population mid-year estimates for males (millions),"2,353.47",,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
142,Asia,2019,Population mid-year estimates for females (millions),"2,247.91",,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
142,Asia,2019,Sex ratio (males per 100 females),104.7,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
142,Asia,2019,Population aged 0 to 14 years old (percentage),23.7,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
142,Asia,2019,Population aged 60+ years old (percentage),12.7,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
142,Asia,2019,Population density,148.3,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
142,Asia,2019,Surface area (thousand km2),"31,033",,"United Nations Statistics Division, New York, ""Demographic Yearbook 2019"" and the demographic statistics database, last accessed June 2021."
142,Asia,2021,Population mid-year estimates (millions),"4,679.66",Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
142,Asia,2021,Population mid-year estimates for males (millions),"2,392.84",Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
142,Asia,2021,Population mid-year estimates for females (millions),"2,286.83",Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
142,Asia,2021,Sex ratio (males per 100 females),104.6,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
142,Asia,2021,Population aged 0 to 14 years old (percentage),23.3,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
142,Asia,2021,Population aged 60+ years old (percentage),13.4,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
142,Asia,2021,Population density,150.8,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
143,Central Asia,2010,Population mid-year estimates (millions),62.81,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
143,Central Asia,2010,Population mid-year estimates for males (millions),31.02,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
143,Central Asia,2010,Population mid-year estimates for females (millions),31.79,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
143,Central Asia,2010,Sex ratio (males per 100 females),97.6,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
143,Central Asia,2010,Population aged 0 to 14 years old (percentage),28.7,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
143,Central Asia,2010,Population aged 60+ years old (percentage),7.0,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
143,Central Asia,2010,Population density,16.0,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
143,Central Asia,2015,Population mid-year estimates (millions),68.48,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
143,Central Asia,2015,Population mid-year estimates for males (millions),33.87,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
143,Central Asia,2015,Population mid-year estimates for females (millions),34.61,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
143,Central Asia,2015,Sex ratio (males per 100 females),97.9,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
143,Central Asia,2015,Population aged 0 to 14 years old (percentage),29.3,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
143,Central Asia,2015,Population aged 60+ years old (percentage),7.6,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
143,Central Asia,2015,Population density,17.4,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
143,Central Asia,2015,Surface area (thousand km2),"4,103",Calculated by the UN Statistics Division.,"United Nations Statistics Division, New York, ""Demographic Yearbook 2019"" and the demographic statistics database, last accessed June 2021."
143,Central Asia,2017,Population mid-year estimates (millions),70.87,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
143,Central Asia,2017,Population mid-year estimates for males (millions),35.07,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
143,Central Asia,2017,Population mid-year estimates for females (millions),35.80,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
143,Central Asia,2017,Sex ratio (males per 100 females),98.0,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
143,Central Asia,2017,Population aged 0 to 14 years old (percentage),29.9,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
143,Central Asia,2017,Population aged 60+ years old (percentage),8.1,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
143,Central Asia,2017,Population density,18.0,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
143,Central Asia,2017,Surface area (thousand km2),"4,103",Calculated by the UN Statistics Division.,"United Nations Statistics Division, New York, ""Demographic Yearbook 2019"" and the demographic statistics database, last accessed June 2021."
143,Central Asia,2021,Population mid-year estimates (millions),75.43,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
143,Central Asia,2021,Population mid-year estimates for males (millions),37.36,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
143,Central Asia,2021,Population mid-year estimates for females (millions),38.07,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
143,Central Asia,2021,Sex ratio (males per 100 females),98.1,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
143,Central Asia,2021,Population aged 0 to 14 years old (percentage),30.5,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
143,Central Asia,2021,Population aged 60+ years old (percentage),9.3,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
143,Central Asia,2021,Population density,19.2,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
30,Eastern Asia,2010,Population mid-year estimates (millions),"1,604.86",,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
30,Eastern Asia,2010,Population mid-year estimates for males (millions),819.65,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
30,Eastern Asia,2010,Population mid-year estimates for females (millions),785.21,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
30,Eastern Asia,2010,Sex ratio (males per 100 females),104.4,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
30,Eastern Asia,2010,Population aged 0 to 14 years old (percentage),18.2,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
30,Eastern Asia,2010,Population aged 60+ years old (percentage),13.8,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
30,Eastern Asia,2010,Population density,138.8,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
30,Eastern Asia,2015,Population mid-year estimates (millions),"1,645.18",,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
30,Eastern Asia,2015,Population mid-year estimates for males (millions),839.70,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
30,Eastern Asia,2015,Population mid-year estimates for females (millions),805.49,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
30,Eastern Asia,2015,Sex ratio (males per 100 females),104.2,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
30,Eastern Asia,2015,Population aged 0 to 14 years old (percentage),17.5,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
30,Eastern Asia,2015,Population aged 60+ years old (percentage),16.5,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
30,Eastern Asia,2015,Population density,142.3,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
30,Eastern Asia,2015,Surface area (thousand km2),"11,799",,"United Nations Statistics Division, New York, ""Demographic Yearbook 2019"" and the demographic statistics database, last accessed June 2021."
30,Eastern Asia,2019,Population mid-year estimates (millions),"1,672.61",,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
30,Eastern Asia,2019,Population mid-year estimates for males (millions),852.92,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
30,Eastern Asia,2019,Population mid-year estimates for females (millions),819.69,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
30,Eastern Asia,2019,Sex ratio (males per 100 females),104.1,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
30,Eastern Asia,2019,Population aged 0 to 14 years old (percentage),17.2,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
30,Eastern Asia,2019,Population aged 60+ years old (percentage),18.4,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
30,Eastern Asia,2019,Population density,144.7,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
30,Eastern Asia,2019,Surface area (thousand km2),"11,560",,"United Nations Statistics Division, New York, ""Demographic Yearbook 2019"" and the demographic statistics database, last accessed June 2021."
30,Eastern Asia,2021,Population mid-year estimates (millions),"1,682.85",Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
30,Eastern Asia,2021,Population mid-year estimates for males (millions),857.65,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
30,Eastern Asia,2021,Population mid-year estimates for females (millions),825.20,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
30,Eastern Asia,2021,Sex ratio (males per 100 females),103.9,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
